TEST,VARIANT,STATE,SIZE,TIME (In Ms)
384,Normal,Ascending,10,0.0011
385,Normal,Ascending,10,0.001
386,Normal,Ascending,10,0.001
387,Normal,Ascending,10,0.0017
388,Normal,Ascending,10,0.0015
389,Normal,Ascending,10,0.0013
390,Normal,Ascending,10,0.0012
391,Normal,Ascending,10,0.0016
392,Normal,Ascending,10,0.0009
393,Normal,Ascending,10,0.0012
394,Normal,Ascending,10,0.0013
395,Normal,Ascending,10,0.0012
396,Normal,Ascending,10,0.0013
397,Normal,Ascending,10,0.0022
398,Normal,Ascending,10,0.0016
399,Normal,Ascending,10,0.0018
400,Normal,Ascending,10,0.0017
401,Normal,Ascending,10,0.0011
402,Normal,Ascending,10,0.0008
403,Normal,Ascending,10,0.0009
404,Normal,Ascending,10,0.001
405,Normal,Ascending,10,0.0011
406,Normal,Ascending,10,0.0011
407,Normal,Ascending,10,0.0011
408,Normal,Ascending,10,0.0011
409,Normal,Ascending,10,0.001
410,Normal,Ascending,10,0.001
411,Normal,Ascending,10,0.0022
412,Normal,Ascending,10,0.002
413,Normal,Ascending,10,0.0011
414,Normal,Ascending,10,0.0014
415,Normal,Ascending,10,0.0022
416,Normal,Ascending,10,0.0012
417,Normal,Ascending,10,0.0016
418,Normal,Ascending,10,0.0022
419,Normal,Ascending,10,0.0009
420,Normal,Ascending,10,0.0008
421,Normal,Ascending,10,0.0009
422,Normal,Ascending,10,0.0011
423,Normal,Ascending,10,0.001
424,Normal,Ascending,10,0.0009
425,Normal,Ascending,10,0.0009
426,Normal,Ascending,10,0.0012
427,Normal,Ascending,10,0.001
428,Normal,Ascending,10,0.001
429,Normal,Ascending,10,0.0007
430,Normal,Ascending,10,0.001
431,Normal,Ascending,10,0.0011
432,Normal,Ascending,10,0.0017
433,Normal,Ascending,10,0.002
434,Normal,Ascending,10,0.0026
435,Normal,Ascending,10,0.0013
436,Normal,Ascending,10,0.0011
437,Normal,Ascending,10,0.0019
438,Normal,Ascending,10,0.0015
439,Normal,Ascending,10,0.0019
440,Normal,Ascending,10,0.0014
441,Normal,Ascending,10,0.0016
442,Normal,Ascending,10,0.0015
443,Normal,Ascending,10,0.001
444,Normal,Ascending,10,0.002
445,Normal,Ascending,10,0.0016
446,Normal,Ascending,10,0.0042
447,Normal,Ascending,10,0.0019
448,Normal,Ascending,10,0.0011
449,Normal,Ascending,10,0.0009
450,Normal,Ascending,10,0.0013
451,Normal,Ascending,10,0.0008
452,Normal,Ascending,10,0.0007
453,Normal,Ascending,10,0.0007
454,Normal,Ascending,10,0.0007
455,Normal,Ascending,10,0.0013
456,Normal,Ascending,10,0.001
457,Normal,Ascending,10,0.0127
458,Normal,Ascending,10,0.0017
459,Normal,Ascending,10,0.0019
460,Normal,Ascending,10,0.0014
461,Normal,Ascending,10,0.0024
462,Normal,Ascending,10,0.0021
463,Normal,Ascending,10,0.0016
464,Normal,Ascending,10,0.0009
465,Normal,Ascending,10,0.0013
466,Normal,Ascending,10,0.0011
467,Normal,Ascending,10,0.0012
468,Normal,Ascending,10,0.0011
469,Normal,Ascending,10,0.001
470,Normal,Ascending,10,0.0016
471,Normal,Ascending,10,0.0015
472,Normal,Ascending,10,0.0024
473,Normal,Ascending,10,0.0032
474,Normal,Ascending,10,0.0018
475,Normal,Ascending,10,0.0012
476,Normal,Ascending,10,0.0013
477,Normal,Ascending,10,0.0011
478,Normal,Ascending,10,0.0015
479,Normal,Ascending,10,0.0008
480,Normal,Ascending,10,0.0014
481,Normal,Ascending,10,0.0012
482,Normal,Ascending,10,0.0018
483,Normal,Ascending,10,0.0013
484,Normal,Ascending,10,0.0014
485,Normal,Ascending,10,0.0013
486,Normal,Ascending,10,0.0009
487,Normal,Ascending,10,0.0017
488,Normal,Ascending,10,0.0019
489,Normal,Ascending,10,0.0013
490,Normal,Ascending,10,0.0015
491,Normal,Ascending,10,0.001
492,Normal,Ascending,10,0.0009
493,Normal,Ascending,10,0.0011
494,Normal,Ascending,10,0.001
495,Normal,Ascending,10,0.001
496,Normal,Ascending,10,0.001
497,Normal,Ascending,10,0.0019
498,Normal,Ascending,10,0.0017
499,Normal,Ascending,10,0.0014
500,Normal,Ascending,10,0.002
501,Normal,Ascending,10,0.001
502,Normal,Ascending,10,0.001
503,Normal,Ascending,10,0.001
504,Normal,Ascending,10,0.0011
505,Normal,Ascending,10,0.0011
506,Normal,Ascending,10,0.0012
507,Normal,Ascending,10,0.0013
508,Normal,Ascending,10,0.0072
509,Normal,Ascending,10,0.0015
510,Normal,Ascending,10,0.0011
511,Normal,Ascending,10,0.0013
512,Normal,Ascending,10,0.0019
513,Normal,Ascending,10,0.0014
514,Normal,Ascending,10,0.0019
515,Normal,Ascending,10,0.0013
516,Normal,Ascending,10,0.0697
517,Normal,Ascending,10,0.0013
518,Normal,Ascending,10,0.0011
519,Normal,Ascending,10,0.0013
520,Normal,Ascending,10,0.0013
521,Normal,Ascending,10,0.0012
522,Normal,Ascending,10,0.0013
523,Normal,Ascending,10,0.0015
524,Normal,Ascending,10,0.0011
525,Normal,Ascending,10,0.0011
526,Normal,Ascending,10,0.0011
527,Normal,Ascending,10,0.0011
528,Normal,Ascending,10,0.0009
529,Normal,Ascending,10,0.001
530,Normal,Ascending,10,0.0013
531,Normal,Ascending,10,0.0009
532,Normal,Ascending,10,0.0011
533,Normal,Ascending,10,0.0011
534,Normal,Ascending,10,0.0009
535,Normal,Ascending,10,0.0008
536,Normal,Ascending,10,0.0006
537,Normal,Ascending,10,0.0006
538,Normal,Ascending,10,0.0006
539,Normal,Ascending,10,0.0005
540,Normal,Ascending,10,0.0006
541,Normal,Ascending,10,0.0016
542,Normal,Ascending,10,0.0012
543,Normal,Ascending,10,0.0013
544,Normal,Ascending,10,0.0011
545,Normal,Ascending,10,0.0011
546,Normal,Ascending,10,0.0009
547,Normal,Ascending,10,0.0009
548,Normal,Ascending,10,0.001
549,Normal,Ascending,10,0.0007
550,Normal,Ascending,10,0.0005
551,Normal,Ascending,10,0.0006
552,Normal,Ascending,10,0.0006
553,Normal,Ascending,10,0.0006
554,Normal,Ascending,10,0.0005
555,Normal,Ascending,10,0.0006
556,Normal,Ascending,10,0.0006
557,Normal,Ascending,10,0.0005
558,Normal,Ascending,10,0.0006
559,Normal,Ascending,10,0.0006
560,Normal,Ascending,10,0.0005
561,Normal,Ascending,10,0.0006
562,Normal,Ascending,10,0.0006
563,Normal,Ascending,10,0.0006
564,Normal,Ascending,10,0.0006
565,Normal,Ascending,10,0.0009
566,Normal,Ascending,10,0.001
567,Normal,Ascending,10,0.0054
568,Normal,Ascending,10,0.001
569,Normal,Ascending,10,0.0007
570,Normal,Ascending,10,0.0006
571,Normal,Ascending,10,0.0006
572,Normal,Ascending,10,0.0006
573,Normal,Ascending,10,0.0006
574,Normal,Ascending,10,0.0006
575,Normal,Ascending,10,0.0006
576,Normal,Ascending,10,0.0006
577,Normal,Ascending,10,0.0006
578,Normal,Ascending,10,0.0006
579,Normal,Ascending,10,0.0006
580,Normal,Ascending,10,0.0006
581,Normal,Ascending,10,0.0006
582,Normal,Ascending,10,0.0006
583,Normal,Ascending,10,0.0006
584,Normal,Ascending,10,0.0005
585,Normal,Ascending,10,0.0006
586,Normal,Ascending,10,0.0009
587,Normal,Ascending,10,0.0012
588,Normal,Ascending,10,0.0006
589,Normal,Ascending,10,0.0006
590,Normal,Ascending,10,0.0006
591,Normal,Ascending,10,0.0006
592,Normal,Ascending,10,0.0007
593,Normal,Ascending,10,0.0013
594,Normal,Ascending,10,0.0009
595,Normal,Ascending,10,0.0009
596,Normal,Ascending,10,0.0009
597,Normal,Ascending,10,0.0009
598,Normal,Ascending,10,0.0009
599,Normal,Ascending,10,0.0008
600,Normal,Ascending,10,0.0008
601,Normal,Ascending,10,0.0008
602,Normal,Ascending,10,0.0009
603,Normal,Ascending,10,0.0006
604,Normal,Ascending,10,0.0005
605,Normal,Ascending,10,0.0007
606,Normal,Ascending,10,0.0007
607,Normal,Ascending,10,0.0008
608,Normal,Ascending,10,0.0008
609,Normal,Ascending,10,0.0009
610,Normal,Ascending,10,0.0008
611,Normal,Ascending,10,0.0007
612,Normal,Ascending,10,0.0006
613,Normal,Ascending,10,0.0013
614,Normal,Ascending,10,0.0013
615,Normal,Ascending,10,0.0011
616,Normal,Ascending,10,0.0017
617,Normal,Ascending,10,0.0016
618,Normal,Ascending,10,0.0013
619,Normal,Ascending,10,0.0011
620,Normal,Ascending,10,0.0011
621,Normal,Ascending,10,0.0011
622,Normal,Ascending,10,0.0008
623,Normal,Ascending,10,0.001
624,Normal,Ascending,10,0.0009
625,Normal,Ascending,10,0.0008
626,Normal,Ascending,10,0.0014
627,Normal,Ascending,10,0.0015
628,Normal,Ascending,10,0.0008
629,Normal,Ascending,10,0.001
630,Normal,Ascending,10,0.0009
631,Normal,Ascending,10,0.0011
632,Normal,Ascending,10,0.0011
633,Normal,Ascending,10,0.0011
634,Normal,Ascending,10,0.0012
635,Normal,Ascending,10,0.001
636,Normal,Ascending,10,0.0013
637,Normal,Ascending,10,0.0016
638,Normal,Ascending,10,0.0011
639,Normal,Ascending,10,0.0011
640,Normal,Ascending,10,0.0008
